reference,trial_name,source,country ,setting,study year,participants,intervention,duration of intervention,intervention combined with hygiene and/or sanitation component,baseline water/water in control group,provided safe water storage,effect estimate (on diarrhea),lower 95% confidence interval,upper 95% confidence interval,study evaluating a specific intervention vs. survey data analyses,quality rating,transition (according to Figure 1 and Table 2),number of participants,notes,compliance,compliance_definition,intervention_start,mortality_reported,diarrhea_prevalence,baseline_water_contamination,notes_new,included
"Chiller TM, Mendoza CE, Lopez MB, et al. Reducing diarrhoea in Guatemalan children: randomized controlled trial of flocculant-disinfectant for drinking-water. Bull World Health Organ 2006; 84: 28-35.","Chiller et al., 2006","Wolf et al., 2018",Guatemala,rural,2002,children<=5years,"POU, chlorination, safe storage",4,no,unimproved,yes,0.61,0.45,0.83,study evaluating a specific intervention,0.58,d,"3401 persons from 514 households (1702 intervention, 1699 control)",,0.85,concentrations of free chlorine in their drinking-water > 0.1 ppm throughout the study,2002,1,NA,,,1
"Chongsuvivatwong, V., L. Mo-suwan, J. Chompikul, K. Vitsupakorn and D. McNeil (1994). ""Effects of piped water supply on the incidence of diarrheal diseases in children in southern Thailand."" Southeast Asian Journal of Tropical Medicine & Public Health 25(4): 628-632.",,"Wolf et al., 2018",Thailand,rural,1990,children<=5years,piped water to premise,12,no,unimproved,no,0.74,0.59,0.93,study evaluating a specific intervention,0.25,b,"126 intervention, 137 control children",,,nort reported,1990,0,3.19(all subjects) episodes per child-year incidence rate,,,
"Clasen T, Garcia Parra G, Boisson S, Collin S. Household-based ceramic water filters for the prevention of diarrhea: a randomized, controlled trial of a pilot program in Colombia. Am J Trop Med Hyg 2005; 73: 790-5.",,"Wolf et al., 2018",Colombia,"rural, urban, rural",2005,children<=5years,"POU, ceramic filter",6,no,unimproved,yes,1.37,0.21,8.87,study evaluating a specific intervention,0.5,f,"28 children <5, 172 people, 49 households","effect estimates are for different locations, Curvarado",,,2005,0,"0.87(all ages) 1.37(children <5) odds ratios of diarrhea prevalence by study site and overall, adjusted for age and visit",,,
"Clasen T, Garcia Parra G, Boisson S, Collin S. Household-based ceramic water filters for the prevention of diarrhea: a randomized, controlled trial of a pilot program in Colombia. Am J Trop Med Hyg 2005; 73: 790-5.",,"Wolf et al., 2018",Colombia,"rural, urban, rural",2005,children<=5years,"POU, ceramic filter",6,no,unimproved,yes,0.6,0.24,1.56,study evaluating a specific intervention,0.5,f,"64 children <5, 309 people, 51 households","effect estimates are for different locations, Dabeida",,,2005,0,"0.49(all ages) 0.60(children <5) odds ratios of diarrhea prevalence by study site and overall, adjusted for age and visit",,,
"Clasen T, Garcia Parra G, Boisson S, Collin S. Household-based ceramic water filters for the prevention of diarrhea: a randomized, controlled trial of a pilot program in Colombia. Am J Trop Med Hyg 2005; 73: 790-5.",,"Wolf et al., 2018",Colombia,"rural, urban, rural",2005,children<=5years,"POU, ceramic filter",6,no,unimproved,yes,0.19,0.06,0.58,study evaluating a specific intervention,0.5,f,"50 children <5, 199 people, 40 households","effect estimates are for different locations, Cartagenita",,,2005,0,"0.21(all ages) 0.19(children <5) odds ratios of diarrhea prevalence by study site and overall, adjusted for age and visit",,,
"Clasen TF, Brown J, Collin S, Suntura O, Cairncross S. Reducing diarrhea through the use of household-based ceramic water filters: a randomized, controlled trial in rural Bolivia. Am J Trop Med Hyg 2004; 70: 651-7.",,"Wolf et al., 2018",Bolivia,rural,2004,children<=5years,"POU, ceramic filter",6,no,unimproved,yes,0.33,0.13,0.7,study evaluating a specific intervention,0.58,f,"32 children <5, 280 people, 50 households",,0.72,"cases were the filters clearly in use at the time water was sampled,",2004,0,"0.165(<5 intervention) 0.578(<5 control)diarrhea prevalence six-week intervals (weeks 7, 13, 19, and 25) to record diarrhea prevalence during the previous seven days",,,
"Clasen TF, Brown J, Collin SM. Preventing diarrhoea with household ceramic water filters: assessment of a pilot project in Bolivia. Int J Environ Health Res 2006; 16: 231-9.",,"Wolf et al., 2018",Bolivia,rural,2004,children<=5years,"POU, ceramic filter",5,no,unimproved,yes,0.55,0.27,1.06,study evaluating a specific intervention,0.58,f,"60 children <5, 317 people, 60 households",,0.67,follow-up survey conducted approximately 9 months after deployment of the filters; use regularly,2004,0,,,,
"Conroy RM, Elmore-Meegan M, Joyce T, McGuigan KG, Barnes J. Solar disinfection of drinking water and diarrhoea in Maasai children: a controlled field trial. Lancet 1996; 348: 1695-7.",,"Wolf et al., 2018",Kenya,rural,1996,children>5years,"POU, solar treatment",3,no,unimproved,no,0.75,0.6,0.91,study evaluating a specific intervention,0.42,e,349 Maasai children < 6 years in 140 households,,1,random checks during routine visits to the homesteads with water-bottle usage protocols,1996,0,,,"compliance rate: ""Random  checks  by  projectworkers  uncovered  no  evidence  of  non-compliance  withthe instructions given"" (p.1696)",
"Conroy RM, Meegan ME, Joyce T, McGuigan K, Barnes J. Solar disinfection of water reduces diarrhoeal disease: an update. Arch Dis Child 1999; 81: 337-8.","Conroy et al., 1999","Wolf et al., 2018",Kenya,rural,1999,children<=5years,"POU, solar treatment",12,no,unimproved,no,0.76,0.71,0.81,study evaluating a specific intervention,0.33,e,206 Maasai children aged 5 to 16 years in 3 adjoining areas of single province,,1,random checks during routine visits to the homesteads with water-bottle usage protocols,1999,1,,,"compliance rate: ""over a year after completion of formal field work, almost all the households randomised to solar disinfection are continuing to use it. "" (p.337)",1
"Crump JA, Otieno PO, Slutsker L, et al. Household based treatment of drinking water with flocculant-disinfectant for preventing diarrhoea in areas with turbid source water in rural western Kenya: cluster randomised controlled trial. BMJ 2005; 3","Crump et al., 2005","Wolf et al., 2018",Kenya,rural,2003,children<=5years,"POU, chlorination, coagulation",5,no,unimproved,no,0.79,0.65,0.96,study evaluating a specific intervention,0.42,d,"6650 people in 605 family compounds (201 family compounds Flocculant-disinfectant, 203 Sodium hypochlorite, and 201 control)",combined effect estimate of flocculant-disinfectant and sodium hypochlorite,0.525,During scheduled visits from sodium hypochlorite compounds had free chlorine concentrations > 0.1 mg/l,2003,1,,,,1
"Devoto F., Duflo E., Dupas P., Pariente W., Pons V. Happiness on Tap: Piped Water Adoption in Urban Morocco. NBER Working Paper No. 16933, Issued in April 2011",,"Wolf et al., 2018",Marocco,urban,2011,children<=5years,piped water to premise,6,no,improved,no,1.04,0.68,1.6,study evaluating a specific intervention,0.42,r,437 households with children <15,,0.69,percent of households in the treatment group had purchased a connection,2011,0,,,,
"du Preez M, Conroy RM, Ligondo S, et al. Randomized intervention study of solar disinfection of drinking water in the prevention of dysentery in Kenyan children aged under 5 years. Environ Sci Technol 2011; 45: 9315-23.","du Preez et al., 2011","Wolf et al., 2018",Kenya,mixed,2007,children<=5years,"POU, solar treatment",17,no,improved,no,0.63,0.48,0.81,study evaluating a specific intervention,0.58,X,"1089 children, 765 households (579 children intervention, 554 control)",combined effect estimates of dysentery and non-dysentery days,0.68,,2007,1,,,,
"du Preez M, Conroy RM, Wright JA, Moyo S, Potgieter N, Gundry SW. Use of ceramic water filtration in the prevention of diarrheal disease: a randomized controlled trial in rural South Africa and Zimbabwe. Am J Trop Med Hyg 2008; 79: 696-701.",,"Wolf et al., 2018",South Africa/Zimbabwe,rural,2008,children<=5years,"POU, ceramic filter",6,no,unimproved,yes,0.21,0.12,0.36,study evaluating a specific intervention,0.58,f,115 children < 5 years,,,not reported,2008,0,,,"reported one not complied, but didn't distinguish between which country (two countries involved)",
"Du Preez M, Mcguigan KG, Conroy RM. Solar disinfection of drinking water in the prevention of dysentery in South African children aged under 5 years: the role of participant motivation. Environ Sci Technol. 2010 Nov 15;44(22):8744-9.",,"Wolf et al., 2018",South Africa,urban,2007/2008,children<=5years,"POU, solar treatment",12,no,improved,no,0.64,0.39,1.05,study evaluating a specific intervention,0.42,X,"824 children, 649 households",,,not reported ,2007,0,,,,
"Ercumen A, Arnold BF, Kumpel E, Burt Z, Ray I, Nelson K, et al. Upgrading a Piped Water Supply from Intermittent to Continuous Delivery and Association with Waterborne Illness: A Matched Cohort Study in Urban India. PLoS Med. 2015;12(10):e1001892.",,"Wolf et al., 2018",India,urban,2010-2012,children<=5years,continuous piped water to premise,36,no,improved,no,0.93,0.83,1.04,study evaluating a specific intervention,0.33,u,"5420 children, 3922 households, 16 neighbourhoods",,,not reported,2010,0,,,"Indirectly observing compliance, not sure how strong it is (bottled water use was 1.4% for control)",
"Ercumen A, Naser AM, Unicomb L, Arnold BF, Colford JM, Luby SP. Effects of source- versus household contamination of tubewell water on child diarrhea in rural Bangladesh: a randomized controlled trial. PloS One. 2015;10(3):e0121907.","Ercumen et al., 2015","Wolf et al., 2018",Bangladesh,rural,2011/2012,children<=5years,"POU, chlorination, safe storage",14,no,improved,yes,0.64,0.55,0.73,study evaluating a specific intervention,0.58,w,"1800 households, 600 in control, 600 in safe storage and 600 in chlorine plus safe storage arm",,0.71,households in the chlorine arm that had water in the intervention container at the time of the visit and free chlorine residual over the minimum CDCrecommended value of 0.2 mg/L,2011,0,,,,
"Fabiszewski de Aceituno, A. M., C. E. Stauber, A. R. Walters, R. E. Meza Sanchez and M. D. Sobsey (2012). ""A randomized controlled trial of the plastic-housing BioSand filter and its impact on diarrheal disease in Copan, Honduras."" American Journal of Tropical Medicine & Hygiene 86(6): 913-921.",,"Wolf et al., 2018",Honduras,rural,2008,children<=5years,"POU, biosand filter, safe storage ",6,no,unimproved,yes,0.58,0.3,1.09,study evaluating a specific intervention,0.67,f,"230 children < 5, 1020 people, 178 households",,,not reported,2008,0,,,,
"Fan, Y. M. V. and M. Ajay (2011). ""What prevents child diarrhoea? The impacts of water supply, toilets, and hand-washing in rural India."" Journal of Development Effectiveness 3(3): 340-370.",,"Wolf et al., 2018",India,rural,2011,children<=5years,piped water to premise,-,no,unimproved,no,1.1,0.98,1.23,survey data analysis,0.25,b,25117 children <5,,,not reported,2011,0,,,,
"Galiani S, Gonzales-Razada M, Schargrodsky E. Water Expansions in Shantytowns: Health and Savings. Economica (2009) 76: 607-622",,"Wolf et al., 2018",Argentina,urban,2008,children<=5years,piped water to premise,7,no,improved,no,0.53,0.26,1.04,study evaluating a specific intervention,0.17,r,"366 households in treatment group, 269 in control group",,,not reported,2008,0,,,,
"Garrett, V., P. Ogutu, P. Mabonga, S. Ombeki, A. Mwaki, G. Aluoch, M. Phelan and R. E. Quick (2008). ""Diarrhoea prevention in a high-risk rural Kenyan population through point-of-use chlorination, safe water storage, sanitation, and rainwater harvesting."" Epidemiology and Infection 136(11): 1463-1471.",,"Wolf et al., 2018",Kenya,rural,2001,children<=5years,"POU, chlorination, safe storage, hygiene education, latrine intervention",18,yes,unimproved,yes,0.31,0.23,0.41,study evaluating a specific intervention,0.25,d,"960 children <5, 556 households, 12 intervention, 6 control villages",,0.43,households were observed to have residual chlorine in stored water,2001,0,,,,
"Gasana J, Morin J, Ndikuyeze A, Kamoso P. Impact of water supply and sanitation on diarrheal morbidity among young children in the socioeconomic and cultural context of Rwanda (Africa). Environ Res. 2002 Oct;90(2):76-88.",,"Wolf et al., 2018",Rwanda,rural,-,children<=5years,community improved water supply,18,no,unimproved,no,1,0.85,1.18,study evaluating a specific intervention,0.25,a,150 children < 5 years,,,not reported,,0,,,,
"Godfrey S, Van Der Velden M, Muianga A, Vigh M, Gunning JW, Elbers C. Impact study of the One Million Initiative rural water and sanitation programme in Mozambique. Waterlines. 2014;33(1):35-44.",,"Wolf et al., 2018",Mozambique,rural,2008-2010,all ages,"community improved water supply, hygiene education",24,yes,unimproved,no,0.96,0.61,1.5,study evaluating a specific intervention,0.08,a,1600 households from 80 intervention and control communities,,,not reported,2008,0,,,,
"Graf, J., S. Z. Togouet, N. Kemka, D. Niyitegeka, R. Meierhofer and J. G. Pieboji (2010). ""Health gains from solar water disinfection (SODIS): Evaluation of a water quality intervention in Yaounde, Cameroon."" Journal of Water and Health 8(4): 779-796.",,"Wolf et al., 2018",Cameroon,urban,2007,children<=5years,"POU, solar treatment, hygiene education",5,yes,unimproved,no,0.63,0.45,0.89,study evaluating a specific intervention,0.17,e,Two surveys: pre-int survey 2193 HHs (4 clusters); 783 HHs (4 clusters),,0.349,score of SODIS use five information components: 1. If SODIS water was mentioned by the respondents when describing the type of liquids consumed by their children under five. 2. If the respondents could at least sufficiently describe how to prepare SODIS water. 3. If the respondents declared that they themselves (their household) were SODIS users. 4. If he interviewers observed bottles in the households (or exposed to the sun) which were obviously used for SODIS. 5. If the interviewers themselves regarded the households as SODIS users.,2007,0,,,,
"Gruber JS, Reygadas F, Arnold BF, Ray I, Nelson K, Colford JM Jr.  A Stepped Wedge, Cluster-Randomized Trial of a Household UV-Disinfection and Safe Storage Drinking Water Intervention in Rural Baja California Sur, Mexico. Am J Trop Med Hyg. 2013 Aug;89(2):238-45. doi: 10.4269/ajtmh.13-0017. Epub 2013 Jun 3.",,"Wolf et al., 2018",Mexico,rural,2009,all ages,"POU, solar treatment",15,no,unimproved,no,0.8,0.51,1.27,study evaluating a specific intervention,0.42,e,"1916 people, 444 households",,0.4,Water quality < 1 MPN E. coli/100 mL,2009,0,,,,
"Günther I, Schipper Y. Pumps, Germs and Storage: The Impact of Improved Water Containers on Water Quality and Health. Health Econ. 2012; DOI: 10.1002/hec.2852",,"Wolf et al., 2018",Benin,rural,2009/2010,all ages,safe storage,3,no,improved,yes,0.91,0.68,1.2,study evaluating a specific intervention,0.5,y,364 intervention households; 347 control households,combined effect estimates of short and medium term,0.88,households still using the improved water vessels 7 months after distribution,2009,0,,,,
"Harshfield, E., D. Lantagne, A. Turbes and C. Null (2012). ""Evaluating the sustained health impact of household chlorination of drinking water in rural Haiti."" American Journal of Tropical Medicine & Hygiene 87(5): 786-795.",,"Wolf et al., 2018",Haiti,rural,2012,children<=5years,"POU, chlorination, hygiene education",90,yes,unimproved,no,0.59,0.36,0.89,study evaluating a specific intervention,0.25,d,"3122 persons, 201 intervention and 425 control households",,0.34,participants reported using it every day,2012,0,,,,
"Hartinger, S. M., C. F. Lanata, J. Hattendorf, A. Gil, H. Verastegui and D. Mausezahl (2012). ""A community randomized controlled trial of an integrated home-based intervention improving household-air pollution, drinking water quality and hygiene in rural peru."" American Journal of Tropical Medicine and Hygiene 1): 285.",,"Wolf et al., 2018",Peru,rural,2012,children<=5years,"POU, solar treatment, hygiene education",12,yes,improved,no,0.78,0.58,1.04,study evaluating a specific intervention,0.5,X,"534 households (267 intervention, 267 control) with 534 children (267 intervention, 267 control)",,0.6,prevalence of SODIS(solar drinking-water disinfection) use,2012,0,,,,
"Hunter, P. R., G. I. Ramirez Toro and H. A. Minnigh (2010). ""Impact on diarrhoeal illness of a community educational intervention to improve drinking water quality in rural communities in Puerto Rico."" BMC Public Health 10: 219.",,"Wolf et al., 2018",Puerto Rico,rural,2005,all ages,improved quality of piped water to premise,15,no,improved,no,0.32,0.14,0.74,study evaluating a specific intervention,0.25,s,"1288 intervention, 1242 control (8 intervention, 10 control clusters)",,,not reported,2005,0,,,,
"Iijima, Y., M. Karama, J. O. Oundo and T. Honda (2001). ""Prevention of bacterial diarrhea by pasteurization of drinking water in Kenya."" Microbiology & Immunology 45(6): 413-416.",,"Wolf et al., 2018",Kenya,rural,1995,all ages,"POU, pasteurization, hygiene education",4,yes,unimproved,no,0.56,0.39,0.81,study evaluating a specific intervention,0,d,1500 households from 4 villages,,,not reported,1995,0,,,,
"Jain, S., O. K. Sahanoon, E. Blanton, A. Schmitz, K. A. Wannemuehler, R. M. Hoekstra and R. E. Quick (2010). ""Sodium dichloroisocyanurate tablets for routine treatment of household drinking water in periurban Ghana: a randomized controlled trial."" American Journal of Tropical Medicine & Hygiene 82(1): 16-22.",,"Wolf et al., 2018",Ghana,urban,2006,children<=5years,"POU, chlorination",3,no,improved,no,1.13,0.91,1.4,study evaluating a specific intervention,0.83,w,"549 children under five, 3240 individuals, 240 households",,0.74,percentage of households with free chlorine residuals ? 0.2 mg/L in stored,2006,0,,,,
"Jensen PK, Ensink JHJ, Jayasinghe G, van der Hoek W, Cairncross S, Dalsgaard A. Effect of chlorination of drinking-water on water quality and childhood diarrhoea in a village in Pakistan. J Health Popul Nutr 2003; 21: 26-31.",,"Wolf et al., 2018",Pakistan,rural,2000,children<=5years,"chlorination of source water, improving community water supply",6,no,unimproved,no,0.94,0.74,1.21,study evaluating a specific intervention,0.17,d,226 children < 5 years of age,,,not reported,2000,0,,,,
"Kirchhoff LV, McClelland KE, Pinho MDC, Araujo JG, De Sousa MA, Guerrant RL. Feasibility and efficacy of in-home water chlorination in rural North-eastern Brazil. J Hyg (Lond). 1985;94(02):173-80",,"Wolf et al., 2018",Brazil,rural,1981,children<=5years,"POU, chlorination",4.5,no,unimproved,no,0.97,0.78,1.21,study evaluating a specific intervention,0.42,d,112 persons (all ages) from 20 families,,,not reported,1981,0,,,,
"Klasen S, Lechtenfeld T, Meier K, Rieckmann J. Benefits trickling away: The health impact of extending access to piped water and sanitation in urban Yemen. Göttingen: Georg-August-Universität; 2012 p. 1-35. Report No.: 110.",,"Wolf et al., 2018",Yemen,urban,2009,children<=5years,piped water to premise,48,no,unimproved,no,1.18,0.47,3.01,study evaluating a specific intervention,0.25,b,"2418 households in total, 328 households in water, 984 households in sanitation, 732 in control group",,1,,2009,0,,,,
"Kremer M., Leino J., Miguel E., Zwane A., Spring Cleaning: Rural Water Impacts, Valuation and Property Rights Institutions. NBER Working Paper Series 2009.","Kremer et al., 2011","Wolf et al., 2018",Kenya,rural,2009,children<=5years,"spring protection, improving community water supply",20,no,unimproved,no,0.75,0.57,0.99,study evaluating a specific intervention,0.33,a,"184 springs; 1354 households (93 springs/749 households were intervention group, 91 springs/685 households were control)",,0.69,Water is high or moderate quality ( E. coli MPN < 126),2005,1,,,,1
"Lindquist ED, George CM, Perin J, Neiswender de Calani KJ, Norman WR, Davis TP, et al. A cluster randomized controlled trial to reduce childhood diarrhea using hollow fiber water filter and/or hygiene-sanitation educational interventions. Am J Trop Med Hyg. 2014 Jul;91(1):190-7.",,"Wolf et al., 2018",Bolivia,urban,2010,children<=5years,"POU, hollow fiber filter",4,no,unimproved,yes,0.21,0.15,0.3,study evaluating a specific intervention,0.5,f,"330 households in intervention arm, 279 in control arm",,0.97,reported being filter users,2010,0,,,,
"Luby SP, Agboatwalla M, Hoekstra RM, Rahbar MH, Billhimer W, Keswick BH. Delayed effectiveness of home-based interventions in reducing childhood diarrhea, Karachi, Pakistan. Am J Trop Med Hyg 2004; 71: 420-7",,"Wolf et al., 2018",Pakistan,urban,2004,children<=5years,"POU, chlorination, safe storage",18,no,unimproved,yes,0.43,0.270000011,0.67,study evaluating a specific intervention,0.25,d,2365 persons < 15 years from 285 households,combined effect estimates for bleach plus regular vessel and bleach plus insulated vessel,,not reported,2004,0,,,,
"Luby SP, Agboatwalla M, Painter J, et al. Combining drinking water treatment and hand washing for diarrhoea prevention, a cluster randomised controlled trial. Trop Med Int Health 2006; 11: 479-89.","Luby et al., 2006","Wolf et al., 2018",Pakistan,urban,2003,children<=5years,"POU, chlorination, flocculation, safe storage",9,no,improved,yes,0.52,0.41,0.66,study evaluating a specific intervention,0.25,w,"3580 people, 527 households in intervention, 1852 people, 282 households in control group","combined effect estimates for age groupe <1, 1-2 and 2-5 and bleach water treatment and flocculant disinfectant water treatment",,not reported,2003,1,,,,1
